Num,MSE
0,0.478561
1,0.478125
2,0.477673
3,0.477203
4,0.476715
5,0.476207
6,0.475679
7,0.475129
8,0.474562
9,0.473977
10,0.473373
11,0.472748
12,0.472107
13,0.471449
14,0.470771
15,0.470073
16,0.469352
17,0.468609
18,0.467841
19,0.467052
20,0.466256
21,0.465451
22,0.464635
23,0.463806
24,0.462964
25,0.462107
26,0.461235
27,0.460346
28,0.459440
29,0.458516
30,0.457573
31,0.456611
32,0.455629
33,0.454626
34,0.453601
35,0.452553
36,0.451482
37,0.450386
38,0.449263
39,0.448111
40,0.446929
41,0.445713
42,0.444461
43,0.443166
44,0.441826
45,0.440432
46,0.438977
47,0.437451
48,0.435843
49,0.434139
50,0.432326
51,0.430391
52,0.428326
53,0.426134
54,0.423832
55,0.421453
56,0.419039
57,0.416630
58,0.414260
59,0.411943
60,0.409687
61,0.407503
62,0.405385
63,0.403329
64,0.401339
65,0.399407
66,0.397532
67,0.395707
68,0.393938
69,0.392217
70,0.390543
71,0.388913
72,0.387327
73,0.385778
74,0.384272
75,0.382804
76,0.381372
77,0.379975
78,0.378611
79,0.377277
80,0.375977
81,0.374707
82,0.373466
83,0.372253
84,0.371066
85,0.369903
86,0.368768
87,0.367657
88,0.366569
89,0.365504
90,0.364461
91,0.363439
92,0.362435
93,0.361453
94,0.360491
95,0.359547
96,0.358621
97,0.357713
98,0.356821
99,0.355944
100,0.355085
101,0.354241
102,0.353413
103,0.352599
104,0.351799
105,0.351013
106,0.350238
107,0.349478
108,0.348731
109,0.347997
110,0.347275
111,0.346565
112,0.345867
113,0.345180
114,0.344505
115,0.343839
116,0.343185
117,0.342541
118,0.341907
119,0.341283
120,0.340669
121,0.340064
122,0.339468
123,0.338879
124,0.338301
125,0.337730
126,0.337169
127,0.336615
128,0.336069
129,0.335530
130,0.335000
131,0.334476
132,0.333959
133,0.333449
134,0.332946
135,0.332450
136,0.331960
137,0.331477
138,0.331000
139,0.330530
140,0.330065
141,0.329606
142,0.329152
143,0.328703
144,0.328261
145,0.327824
146,0.327392
147,0.326966
148,0.326544
149,0.326128
150,0.325716
151,0.325309
152,0.324906
153,0.324509
154,0.324114
155,0.323726
156,0.323341
157,0.322961
158,0.322584
159,0.322212
160,0.321844
161,0.321480
162,0.321119
163,0.320762
164,0.320409
165,0.320060
166,0.319713
167,0.319371
168,0.319032
169,0.318696
170,0.318364
171,0.318035
172,0.317709
173,0.317386
174,0.317066
175,0.316749
176,0.316435
177,0.316124
178,0.315816
179,0.315511
180,0.315208
181,0.314908
182,0.314611
183,0.314316
184,0.314024
185,0.313735
186,0.313448
187,0.313163
188,0.312881
189,0.312601
190,0.312323
191,0.312048
192,0.311774
193,0.311503
194,0.311235
195,0.310968
196,0.310703
197,0.310440
198,0.310180
199,0.309921
200,0.309664
201,0.309409
202,0.309157
203,0.308905
204,0.308656
205,0.308409
206,0.308163
207,0.307919
208,0.307676
209,0.307436
210,0.307197
211,0.306959
212,0.306723
213,0.306489
214,0.306256
215,0.306025
216,0.305795
217,0.305567
218,0.305339
219,0.305114
220,0.304890
221,0.304667
222,0.304445
223,0.304225
224,0.304006
225,0.303788
226,0.303572
227,0.303357
228,0.303143
229,0.302930
230,0.302718
231,0.302507
232,0.302298
233,0.302089
234,0.301882
235,0.301675
236,0.301470
237,0.301266
238,0.301062
239,0.300860
240,0.300659
241,0.300458
242,0.300258
243,0.300060
244,0.299862
245,0.299665
246,0.299469
247,0.299273
248,0.299079
249,0.298885
250,0.298692
251,0.298500
252,0.298308
253,0.298117
254,0.297927
255,0.297738
256,0.297549
257,0.297361
258,0.297173
259,0.296987
260,0.296800
261,0.296614
262,0.296429
263,0.296245
264,0.296061
265,0.295877
266,0.295694
267,0.295511
268,0.295329
269,0.295147
270,0.294966
